reward,horizon,lr_p,lr_v,lambda
337.30,25.0,0.001,0.0005,0.98
324.78,25.0,0.001,0.001,0.95
315.77,25.0,0.0005,0.001,0.9
276.65,25.0,0.001,0.005,0.95
217.59,25.0,0.005,0.001,0.95
154.81,25.0,0.005,0.0005,0.9
111.25,25.0,0.005,0.005,0.85
80.34,25.0,0.005,0.005,0.9
60.92,25.0,0.001,0.005,0.85
55.97,25.0,0.005,0.005,0.95
53.53,25.0,0.0005,0.0005,0.95
51.70,25.0,0.001,0.0005,0.9
49.62,25.0,0.0005,0.001,0.98
49.60,25.0,0.005,0.0005,0.95
49.32,25.0,0.001,0.001,0.98
45.65,25.0,0.001,0.005,0.9
44.93,25.0,0.005,0.005,0.98
44.77,25.0,0.001,0.005,0.85
44.36,25.0,0.0005,0.0005,0.98
44.30,25.0,0.005,0.001,0.95
43.52,25.0,0.0005,0.001,0.95
43.51,25.0,0.005,0.0001,0.98
43.31,25.0,0.001,0.001,0.95
43.16,25.0,0.0005,0.0001,0.9
41.96,25.0,0.0005,0.0005,0.9
41.53,25.0,0.001,0.0001,0.9
41.43,25.0,0.001,0.005,0.98
41.40,25.0,0.001,0.0005,0.95
41.32,25.0,0.0005,0.0001,0.9
40.96,25.0,0.001,0.005,0.98
40.63,25.0,0.001,0.0005,0.95
40.38,25.0,0.0005,0.0001,0.98
40.06,25.0,0.001,0.0001,0.98
39.91,25.0,0.001,0.005,0.9
39.81,25.0,0.0005,0.001,0.9
39.66,25.0,0.001,0.0005,0.9
39.35,25.0,0.005,0.005,0.9
39.01,25.0,0.0005,0.005,0.98
38.72,25.0,0.0005,0.001,0.95
38.70,25.0,0.0005,0.0005,0.98
38.67,25.0,0.0005,0.005,0.95
38.58,25.0,0.0005,0.005,0.9
38.31,25.0,0.0005,0.005,0.98
38.23,25.0,0.0005,0.005,0.95
37.56,1000.0,0.005,0.0005,0.95
36.75,25.0,0.005,0.005,0.95
36.46,25.0,0.001,0.001,0.9
36.30,5.0,0.001,0.0005,0.85
35.83,25.0,0.0001,0.005,0.9
35.80,25.0,0.0001,0.005,0.9
35.74,25.0,0.001,0.001,0.9
35.58,25.0,0.0001,0.005,0.95
35.51,25.0,0.0005,0.0001,0.98
35.47,25.0,0.0001,0.001,0.9
35.42,25.0,0.005,0.005,0.85
35.37,25.0,0.0001,0.0005,0.9
35.25,25.0,0.0001,0.0005,0.95
35.23,25.0,0.001,0.0001,0.98
35.13,25.0,0.0001,0.001,0.9
35.08,25.0,0.0005,0.0005,0.9
34.98,25.0,0.0001,0.0005,0.9
34.95,25.0,0.0001,0.0005,0.98
34.88,25.0,0.0001,0.001,0.95
34.84,25.0,0.0001,0.001,0.95
34.80,25.0,0.005,0.001,0.98
34.77,25.0,0.0001,0.001,0.98
34.66,10.0,0.0005,0.0001,0.85
34.59,25.0,0.0001,0.005,0.98
34.53,25.0,0.0001,0.0005,0.95
34.46,25.0,0.0001,0.001,0.98
34.43,25.0,0.0001,0.0005,0.95
34.42,25.0,0.0001,0.005,0.9
34.17,25.0,0.0001,0.001,0.98
34.14,25.0,0.0001,0.005,0.98
33.94,25.0,0.005,0.0001,0.95
33.89,25.0,0.0005,0.0001,0.95
33.85,25.0,0.0001,0.001,0.98
33.76,25.0,0.0001,0.0001,0.98
33.46,25.0,0.005,0.001,0.85
33.08,25.0,0.0001,0.0001,0.95
33.08,25.0,0.005,0.0005,0.98
33.02,25.0,0.0001,0.0001,0.9
32.95,25.0,0.0001,0.0001,0.98
32.85,25.0,0.0005,0.0001,0.95
32.80,25.0,0.0001,0.0001,0.95
32.74,25.0,0.005,0.0001,0.98
32.72,25.0,0.0001,0.0001,0.9
32.71,25.0,0.001,0.0001,0.95
32.66,25.0,0.005,0.0005,0.95
32.58,25.0,0.005,0.001,0.95
32.34,25.0,0.001,0.0001,0.9
31.31,25.0,0.005,0.001,0.85
31.18,25.0,0.005,0.0001,0.9
31.17,25.0,0.001,0.0001,0.95
29.66,25.0,0.005,0.001,0.9
28.91,25.0,0.005,0.0005,0.9
