reward,theta,sigma,lr_p,lr_v,mbs,bc,tau
87.72,0.25,0.15,0.0001,0.0005,128.0,500000.0,0.001
87.37,0.25,0.15,0.0005,0.001,128.0,500000.0,0.0005
84.96,0.2,0.15,0.001,0.001,128.0,500000.0,0.005
84.95,0.2,0.15,0.0001,0.0005,128.0,500000.0,0.001
84.68,0.2,0.15,0.005,0.001,128.0,500000.0,0.0005
84.36,0.2,0.15,0.0001,0.0005,128.0,500000.0,0.001
84.22,0.2,0.15,0.005,0.001,128.0,500000.0,0.005
83.95,0.2,0.15,0.001,0.001,128.0,500000.0,0.005
83.84,0.25,0.15,0.001,0.001,128.0,500000.0,0.01
83.42,0.2,0.15,0.005,0.001,128.0,500000.0,0.0005
83.42,0.2,0.15,0.0001,0.001,128.0,500000.0,0.005
83.19,0.2,0.15,0.001,0.0005,128.0,500000.0,0.0005
83.08,0.2,0.15,0.001,0.001,128.0,500000.0,0.001
83.06,0.2,0.15,0.0005,0.001,128.0,500000.0,0.005
82.91,0.25,0.15,0.0001,0.001,128.0,500000.0,0.001
82.34,0.2,0.15,0.0001,0.001,128.0,500000.0,0.005
82.19,0.2,0.15,0.001,0.0005,128.0,500000.0,0.001
82.07,0.2,0.15,0.0001,0.001,128.0,500000.0,0.01
81.96,0.2,0.15,0.001,0.0005,128.0,500000.0,0.001
81.71,0.2,0.15,0.0005,0.001,128.0,500000.0,0.0005
81.64,0.2,0.15,0.0005,0.0005,128.0,500000.0,0.001
81.60,0.25,0.15,0.0005,0.0005,128.0,500000.0,0.0005
81.38,0.2,0.15,0.0001,0.001,128.0,500000.0,0.01
81.35,0.2,0.15,0.001,0.001,128.0,500000.0,0.0005
81.18,0.2,0.15,0.0005,0.0005,128.0,500000.0,0.0005
81.00,0.25,0.15,0.001,0.0005,128.0,500000.0,0.0005
80.26,0.2,0.15,0.0001,0.0005,128.0,500000.0,0.005
80.01,0.2,0.15,0.005,0.0005,128.0,500000.0,0.01
79.64,0.2,0.15,0.001,0.0005,128.0,500000.0,0.005
79.55,0.2,0.15,0.001,0.0005,128.0,500000.0,0.0005
78.51,0.2,0.15,0.005,0.0005,128.0,500000.0,0.001
78.32,0.2,0.15,0.0005,0.001,128.0,500000.0,0.001
78.26,0.25,0.15,0.0005,0.001,128.0,500000.0,0.001
78.17,0.2,0.15,0.0005,0.001,128.0,500000.0,0.01
77.77,0.25,0.15,0.0001,0.001,128.0,500000.0,0.0005
77.66,0.25,0.15,0.0005,0.0005,128.0,500000.0,0.0005
77.00,0.25,0.15,0.0005,0.0005,128.0,500000.0,0.001
76.51,0.2,0.15,0.005,0.001,128.0,500000.0,0.001
75.56,0.2,0.15,0.0005,0.001,128.0,500000.0,0.0005
75.00,0.2,0.15,0.005,0.0001,128.0,500000.0,0.001
74.78,0.25,0.15,0.0005,0.0005,128.0,500000.0,0.001
74.34,0.2,0.15,0.001,0.0001,128.0,500000.0,0.001
74.00,0.25,0.15,0.0001,0.0001,128.0,500000.0,0.0005
73.78,0.2,0.15,0.0005,0.0005,128.0,500000.0,0.01
73.72,0.2,0.15,0.0001,0.0005,128.0,500000.0,0.0005
73.70,0.2,0.15,0.0001,0.001,128.0,500000.0,0.001
