reward,horizon,target_kl,ep_p,ep_v,lr_p,lr_v,mbs_p,mbs_v,lambda
336.25,8192.0,0.007,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
331.02,8192.0,0.01,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
326.97,8192.0,0.01,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
326.03,8192.0,0.005,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
321.26,8192.0,0.01,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
321.19,8192.0,0.01,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
320.40,8192.0,0.007,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
320.17,8192.0,0.005,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
318.96,8192.0,0.003,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
318.55,8192.0,0.01,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
318.32,8192.0,0.005,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
314.89,8192.0,0.003,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
314.78,8192.0,0.01,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
314.47,8192.0,0.003,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
313.32,8192.0,0.01,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
313.21,8192.0,0.01,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
311.69,8192.0,0.005,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
310.98,8192.0,0.01,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
309.30,8192.0,0.01,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
307.66,8192.0,0.005,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
303.78,8192.0,0.003,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
302.03,8192.0,0.0008,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
299.92,8192.0,0.003,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
299.68,8192.0,0.005,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
295.81,8192.0,0.005,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
295.67,8192.0,0.003,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
294.77,8192.0,0.0008,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
294.47,8192.0,0.0008,4.0,8.0,0.0001,0.005,2048.0,256.0,0.9
293.25,8192.0,0.005,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
292.51,8192.0,0.005,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
291.89,8192.0,0.01,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
291.72,8192.0,0.001,4.0,8.0,0.0005,0.001,2048.0,256.0,0.95
290.80,4096.0,0.0008,20.0,12.0,0.0001,0.005,1024.0,256.0,0.95
290.35,8192.0,0.0008,4.0,8.0,0.001,0.001,2048.0,256.0,0.95
290.33,8192.0,0.007,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
289.83,8192.0,0.007,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
288.89,8192.0,0.01,4.0,8.0,0.005,0.005,2048.0,256.0,0.85
287.18,8192.0,0.001,4.0,8.0,0.0001,0.005,2048.0,256.0,0.9
287.13,8192.0,0.003,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
286.92,8192.0,0.007,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
286.08,8192.0,0.007,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
286.02,8192.0,0.005,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
284.91,8192.0,0.0008,4.0,8.0,0.0005,0.001,2048.0,256.0,0.95
284.44,8192.0,0.007,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
284.07,8192.0,0.005,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
283.94,8192.0,0.0008,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
283.23,8192.0,0.007,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
280.12,8192.0,0.005,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
279.67,8192.0,0.005,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
279.59,8192.0,0.01,4.0,20.0,0.005,0.0005,2048.0,256.0,0.98
279.20,8192.0,0.007,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
278.20,8192.0,0.005,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
277.83,8192.0,0.0008,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
276.86,8192.0,0.005,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
276.62,8192.0,0.003,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
276.41,8192.0,0.003,4.0,4.0,0.001,0.005,2048.0,256.0,0.98
275.62,8192.0,0.007,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
274.23,8192.0,0.001,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
274.09,8192.0,0.005,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
274.00,8192.0,0.0008,4.0,12.0,0.0005,0.005,2048.0,256.0,0.98
272.95,8192.0,0.0008,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
272.56,8192.0,0.003,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
271.99,8192.0,0.0008,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
271.53,8192.0,0.001,4.0,8.0,0.0005,0.001,2048.0,256.0,0.95
270.24,8192.0,0.005,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
270.11,8192.0,0.01,4.0,20.0,0.005,0.0005,2048.0,256.0,0.98
268.72,8192.0,0.007,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
267.77,8192.0,0.001,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
266.95,8192.0,0.007,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
266.87,8192.0,0.003,4.0,4.0,0.001,0.005,2048.0,256.0,0.98
266.40,8192.0,0.003,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
266.12,8192.0,0.001,4.0,8.0,0.0005,0.001,2048.0,256.0,0.95
266.07,8192.0,0.001,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
264.88,8192.0,0.003,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
264.54,8192.0,0.003,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
263.83,8192.0,0.01,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
263.63,8192.0,0.003,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
259.79,8192.0,0.003,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
259.76,8192.0,0.001,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
259.41,8192.0,0.003,4.0,8.0,0.0005,0.001,2048.0,256.0,0.95
258.86,8192.0,0.003,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
257.80,8192.0,0.001,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
257.65,8192.0,0.0008,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
257.47,8192.0,0.005,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
257.38,4096.0,0.003,12.0,20.0,0.0005,0.001,512.0,1024.0,0.9
257.14,8192.0,0.01,4.0,20.0,0.0005,0.0001,2048.0,256.0,0.98
254.61,8192.0,0.005,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
254.29,8192.0,0.007,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
254.06,8192.0,0.001,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
253.38,8192.0,0.0008,4.0,20.0,0.0001,0.005,1024.0,256.0,0.98
252.95,8192.0,0.0008,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
251.98,8192.0,0.0008,4.0,16.0,0.0005,0.005,2048.0,256.0,0.98
250.13,8192.0,0.001,4.0,12.0,0.0001,0.005,2048.0,256.0,0.98
249.88,8192.0,0.0008,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
249.69,8192.0,0.003,4.0,4.0,0.0005,0.005,2048.0,256.0,0.98
249.52,8192.0,0.0008,4.0,4.0,0.0001,0.005,256.0,256.0,0.98
249.00,8192.0,0.003,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
248.91,8192.0,0.001,4.0,16.0,0.0001,0.005,2048.0,256.0,0.98
248.76,8192.0,0.0008,4.0,4.0,0.001,0.005,2048.0,256.0,0.98
248.17,8192.0,0.003,4.0,4.0,0.0005,0.005,2048.0,256.0,0.98
248.03,8192.0,0.001,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
247.97,8192.0,0.001,4.0,8.0,0.0005,0.005,2048.0,256.0,0.95
247.70,8192.0,0.007,4.0,20.0,0.005,0.001,2048.0,256.0,0.98
247.36,8192.0,0.0008,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
247.01,8192.0,0.003,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
245.45,8192.0,0.0008,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
243.82,8192.0,0.0008,4.0,20.0,0.0001,0.001,2048.0,256.0,0.98
243.75,8192.0,0.0008,4.0,20.0,0.0001,0.005,256.0,256.0,0.98
243.54,8192.0,0.001,4.0,8.0,0.001,0.0005,2048.0,256.0,0.95
243.29,8192.0,0.005,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
243.25,8192.0,0.001,4.0,4.0,0.001,0.005,2048.0,256.0,0.98
242.47,8192.0,0.001,4.0,20.0,0.0001,0.005,2048.0,256.0,0.98
242.22,8192.0,0.003,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
242.19,8192.0,0.001,4.0,20.0,0.0001,0.005,256.0,256.0,0.98
241.18,8192.0,0.001,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
241.10,8192.0,0.001,4.0,4.0,0.0001,0.005,2048.0,256.0,0.98
241.08,8192.0,0.01,4.0,20.0,0.005,0.005,2048.0,256.0,0.98
240.58,8192.0,0.001,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
240.26,8192.0,0.001,4.0,8.0,0.001,0.005,2048.0,256.0,0.95
239.77,8192.0,0.0008,4.0,4.0,0.0005,0.005,2048.0,256.0,0.98
