reward,horizon,epsilon,ep_p,ep_v,lr_p,lr_v,mbs_p,mbs_v,lambda
334.50,8192.0,0.3,4.0,20.0,0.0005,0.0005,2048.0,256.0,0.98
323.82,8192.0,0.3,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
318.71,4096.0,0.2,8.0,12.0,0.0001,0.005,256.0,2048.0,0.95
310.35,8192.0,0.3,4.0,8.0,0.0005,0.0005,2048.0,256.0,0.98
305.26,8192.0,0.2,4.0,8.0,0.001,0.0005,2048.0,256.0,0.98
304.02,8192.0,0.3,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
303.21,8192.0,0.3,8.0,20.0,0.0001,0.001,2048.0,256.0,0.98
302.70,8192.0,0.3,4.0,8.0,0.0005,0.0005,2048.0,256.0,0.98
300.05,8192.0,0.2,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
298.95,8192.0,0.2,4.0,8.0,0.0005,0.0005,2048.0,256.0,0.98
297.24,8192.0,0.3,4.0,20.0,0.001,0.0005,2048.0,256.0,0.98
295.39,8192.0,0.2,4.0,8.0,0.0005,0.005,2048.0,256.0,0.98
295.07,8192.0,0.3,8.0,20.0,0.0005,0.005,2048.0,256.0,0.98
294.04,8192.0,0.3,4.0,20.0,0.001,0.005,2048.0,256.0,0.98
292.60,8192.0,0.3,20.0,20.0,0.0001,0.005,2048.0,512.0,0.98
292.50,8192.0,0.3,4.0,20.0,0.0005,0.001,2048.0,256.0,0.98
292.50,8192.0,0.2,4.0,8.0,0.0005,0.001,2048.0,256.0,0.98
292.21,8192.0,0.3,20.0,20.0,0.0001,0.005,2048.0,512.0,0.98
291.74,8192.0,0.3,8.0,20.0,0.0005,0.001,2048.0,256.0,0.98
291.08,8192.0,0.3,20.0,20.0,0.0001,0.005,2048.0,256.0,0.98
289.45,8192.0,0.3,4.0,20.0,0.001,0.0001,2048.0,256.0,0.98
288.96,8192.0,0.3,20.0,20.0,0.0005,0.005,2048.0,256.0,0.98
288.55,8192.0,0.3,4.0,20.0,0.0005,0.005,2048.0,256.0,0.98
287.02,8192.0,0.3,20.0,20.0,0.0001,0.005,2048.0,256.0,0.98
286.68,8192.0,0.3,4.0,8.0,0.0001,0.005,2048.0,256.0,0.95
286.54,8192.0,0.3,4.0,8.0,0.0005,0.001,2048.0,256.0,0.98
286.52,8192.0,0.3,4.0,8.0,0.0001,0.001,2048.0,256.0,0.95
285.08,8192.0,0.3,8.0,20.0,0.0001,0.0005,2048.0,256.0,0.98
284.99,8192.0,0.3,4.0,20.0,0.001,0.001,2048.0,256.0,0.98
283.78,8192.0,0.3,4.0,8.0,0.0005,0.005,2048.0,256.0,0.98
283.69,8192.0,0.3,8.0,20.0,0.001,0.0005,2048.0,256.0,0.98
282.96,8192.0,0.3,4.0,8.0,0.001,0.005,2048.0,256.0,0.98
